drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
DKNWSYNQZKUICI,ZPMKQFOGINQDAM,Amantadine,Amitriptylinoxide,DKNWSYNQZKUICI::ZPMKQFOGINQDAM,0,,,,
BIDNLKIUORFRQP,ZJAOAACCNHFJAH,Fosinopril,Foscarnet,BIDNLKIUORFRQP::ZJAOAACCNHFJAH,0,,,,
IRYJRGCIQBGHIV,OFZCIYFFPZCNJE,Trimethadione,Carisoprodol,IRYJRGCIQBGHIV::OFZCIYFFPZCNJE,0,,,,
NTJOBXMMWNYJFB,QHZQILHUJDRDAI,Amisulpride,Febarbamate,NTJOBXMMWNYJFB::QHZQILHUJDRDAI,0,,,,
SGOIRFVFHAKUTI,VEGXETMJINRLTH,Tenofovir,Gentamicin C1a,SGOIRFVFHAKUTI::VEGXETMJINRLTH,4,,,,
LQCLVBQBTUVCEQ,YSEXMKHXIOCEJA,Troleandomycin,Nicergoline,LQCLVBQBTUVCEQ::YSEXMKHXIOCEJA,0,,,,
UUMLTINZBQPNGF,VOXZDWNPVJITMN,Ioxilan,Estradiol,UUMLTINZBQPNGF::VOXZDWNPVJITMN,0,,,,
CJOFXWAVKWHTFT,RPTUSVTUFVMDQK,Fluvoxamine,Hydralazine,CJOFXWAVKWHTFT::RPTUSVTUFVMDQK,1,,,,
QLIIKPVHVRXHRI,QZUDBNBUXVUHMW,Mometasone,Clozapine,QLIIKPVHVRXHRI::QZUDBNBUXVUHMW,7,,,,
KQXKVJAGOJTNJS,NTJOBXMMWNYJFB,Penbutolol,Amisulpride,KQXKVJAGOJTNJS::NTJOBXMMWNYJFB,0,,,,
JAONZGLTYYUPCT,JAZBEHYOTPTENJ,Bismuth subgallate,Icosapent,JAONZGLTYYUPCT::JAZBEHYOTPTENJ,0,,,,
RVOLLAQWKVFTGE,UORJNBVJVRLXMQ,Pyridostigmine,Aprobarbital,RVOLLAQWKVFTGE::UORJNBVJVRLXMQ,0,,,,
BYPFEZZEUUWMEJ,DKJJVAGXPKPDRL,Pentoxifylline,Tiludronic acid,BYPFEZZEUUWMEJ::DKJJVAGXPKPDRL,0,,,,
